publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,first_chapter_link,date,title,age_group,weeks_on_list,num_words_in_title
"Mulholland/Little, Brown",0,,Robert Galbraith,316349925,0,9.78E+12,https://www.nytimes.com/2015/11/01/books/review/career-of-evil-by-jk-rowling-writing-as-robert-galbraith.html,by Robert Galbraith,,11/29/15,CAREER OF EVIL,NA,4,3
Grand Central,0,,Sandra Brown,1455581178,0,9.78E+12,,by Sandra Brown,,9/27/15,FRICTION,NA,4,1
"Little, Brown",0,,James Patterson and Michael Ledwidge,316407186,0,9.78E+12,,by James Patterson and Michael Ledwidge,,9/13/15,ALERT,NA,4,1
Ballantine,0,,Paula McLain,345534190,0,9.78E+12,,by Paula McLain,,9/6/15,CIRCLING THE SUN,NA,4,3
Random House Publishing,0,,Janet Evanovich,034552778X,0,9.78E+12,,by Janet Evanovich,,5/24/15,WICKED BUSINESS,NA,4,1
Putnam,0,,Mark Greaney,399173358,0,9.78E+12,,by Mark Greaney,,1/11/15,TOM CLANCY FULL FORCE AND EFFECT,NA,4,6
Penelope Ward,0,,Penelope Ward,1942215037,0,9.78E+12,,by Penelope Ward,,11/9/14,STEPBROTHER DEAREST,NA,4,1
Putnam,0,,Jan Karon,399167447,0,9.78E+12,,by Jan Karon,,10/12/14,SOMEWHERE SAFE WITH SOMEBODY GOOD,NA,4,5
Grand Central,0,,James Patterson and Michael White,145552977X,0,9.78E+12,,by James Patterson and Michael White,,10/12/14,PRIVATE DOWN UNDER,NA,4,3
Viking,0,,Deborah Harkness,698163478,0,9.78E+12,,by Deborah Harkness,,8/31/14,THE BOOK OF LIFE,NA,4,4
Ballantine,0,,Jonathan Kellerman,345548418,0,9.78E+12,,by Jonathan Kellerman,,3/23/14,KILLER,NA,4,1
"Little, Brown",0,,James Patterson and Michael Ledwidge,031621101X,0,9.78E+12,,by James Patterson and Michael Ledwidge,,11/10/13,GONE,NA,4,1
Soho Press,0,,Lene Kaaberbol,1569479828,0,9.78E+12,https://www.nytimes.com/2011/11/20/books/review/sue-graftons-v-is-for-vengeance-and-other-crime-books.html,by Lene Kaaberbol,,9/8/13,THE BOY IN THE SUITCASE,NA,4,5
Laree Bailey,0,,H M Ward,985547324,0,9.78E+12,,by H. M. Ward,,5/19/13,DAMAGED,NA,4,1
Harlequin Mira,0,,Ron Carr,None,0,9.78E+12,,by Robyn Carr,,5/5/13,THE WANDERER,NA,4,1
Jasinda Wilder,0,,Jasinda Wilder,None,0,A00B00BUPMC8C,,by Jasinda Wilder,,4/28/13,FALLING INTO YOU,NA,4,3
Grand Central Publishing,0,,JA Redmerski,None,0,9.78E+12,,by  J.A. Redmerski,,4/14/13,THE EDGE OF NEVER,NA,4,4
Penguin Group,0,,Maya Banks,,0,9.78E+12,,by Maya Banks,,3/17/13,RUSH,NA,4,1
Addison Moore,0,,Addison Moore,1624300006,0,9.78E+12,,by Addison Moore,,2/10/13,SOMEONE TO LOVE,NA,4,3
